country_code,site_id,smr_key,bucket,hard_criteria,floor_criteria,n_hard,n_floor,n_distinct_failures
HR,7af0e000-3d19-4e5e-b504-f74897f1510c,nuscale_voygr6,both,NH-02|NH-05,EP-01|NH-05,2,2,3
HR,ab151830-e5bd-46de-8400-01aa4c165366,nuscale_voygr6,both,NH-05,NH-04|NH-05|NS-08,1,3,3
HU,059b3ad4-7196-4e6b-b169-8605ceeed841,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
HU,28b36531-865d-42ae-afb3-b8bad86f7014,nuscale_voygr6,both,NH-05,EP-01|NH-05,1,2,2
HU,34d88ce8-d49c-4b19-af2d-6efcb1b72149,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05|NS-08,1,4,4
HU,5de5f907-98e7-42d3-a7dd-cb65f839697b,nuscale_voygr6,both,NH-05,EP-01|NH-05,1,2,2
HU,651839d3-4e8f-4214-89aa-1f96ea221121,nuscale_voygr6,both,NH-05,NH-05,1,1,1
HU,903d6b94-cd9d-4c32-b7e2-4bbfbee929df,nuscale_voygr6,both,NH-05,NH-04|NH-05,1,2,2
HU,997474f6-9bfd-4abd-a2ac-d8618db8f0b4,nuscale_voygr6,both,NH-05,NH-05,1,1,1
HU,e1649639-2e45-4226-9c7a-783d2dcb6724,nuscale_voygr6,both,EP-01|NH-05,NH-04|NH-05,2,2,3
HU,ef325d90-6d2d-4f8f-89f2-3bc98beb149b,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
HU,f2b3a729-602a-4b6b-acc9-004244f2e556,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
HU,f7dcdb63-26e6-44cd-b440-ec14fe507d90,nuscale_voygr6,both,NH-05,EP-01|NH-05,1,2,2
LV,1a5b8f8f-f4be-4514-8738-755d25e19b41,nuscale_voygr6,floor_only,,EP-01,0,1,1
MD,b3eb5dd2-98cf-40c4-b9ee-2a86fd066093,nuscale_voygr6,both,NH-05,NH-05,1,1,1
ME,3795824b-cb76-48dd-a65c-764c757ddc76,nuscale_voygr6,floor_only,,EP-01|NH-02,0,2,2
ME,a851b5f3-8392-4766-82b9-379c6c04fe5d,nuscale_voygr6,both,NH-02|NH-05,EP-01|NH-04|NH-05,2,3,4
ME,a9385c82-79b7-4f8d-b609-0a12ed946fe6,nuscale_voygr6,both,NH-02|NH-05,EP-01|NH-04|NH-05,2,3,4
ME,e77a7e7f-11ba-4e61-98da-f44471bc52ab,nuscale_voygr6,both,EP-01,NH-02|NH-04,1,2,3
MK,1739b1b7-a6f3-466c-9dfa-3d1de9d5b6db,nuscale_voygr6,floor_only,,NH-02,0,1,1
MK,756218bb-3f16-443e-b6c6-400cd0ce2f87,nuscale_voygr6,floor_only,,EP-01|NH-02|NH-04|NH-05,0,4,4
MK,7bff5ef2-646d-4b83-83b0-7f3da32f0254,nuscale_voygr6,floor_only,,NH-04,0,1,1
MK,83d3abe4-2049-47ad-a66b-46034edb7569,nuscale_voygr6,floor_only,,EP-01,0,1,1
PL,06641fea-8997-4b69-a618-6afa34b82591,nuscale_voygr6,floor_only,,EP-01|NH-04,0,2,2
PL,0b187a1d-55de-47cf-96a3-06abc8ff2476,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
PL,187b4fd7-6a61-4e94-8ed4-495ac6dfc317,nuscale_voygr6,floor_only,,EP-01,0,1,1
PL,1d19dce6-c458-4656-901d-6a8d3c548761,nuscale_voygr6,floor_only,,EP-01|NH-04,0,2,2
PL,202d797d-b0f9-4cd0-bbac-d7bb06805c09,nuscale_voygr6,floor_only,,EP-01|NH-04,0,2,2
PL,239ea0eb-a9c4-43cc-ac5f-35271bdc6613,nuscale_voygr6,floor_only,,EP-01|NH-04,0,2,2
PL,27fc89b3-ee57-44ac-8073-a700bc8d12e8,nuscale_voygr6,both,EP-01|NH-05,NH-04|NH-05,2,2,3
PL,29479c3f-8db8-4f62-90e8-59ad6739f90b,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
PL,2981a12d-3444-4301-96ba-a63ef50bec3e,nuscale_voygr6,floor_only,,EP-01,0,1,1
PL,29a58981-aaf7-4450-ad41-49dd6d786168,nuscale_voygr6,both,EP-01,NH-04,1,1,2
PL,2da9dab9-7b4e-46e7-b1c8-70eeb329c177,nuscale_voygr6,both,EP-01|NH-05,NH-04|NH-05,2,2,3
PL,399668d6-bfed-4e5b-bf38-9ee5902101c3,nuscale_voygr6,both,EP-01|NH-05,NH-04|NH-05,2,2,3
PL,3d2d4c37-eb9d-4b35-a8b1-b3f485bc3e3f,nuscale_voygr6,both,EP-01,NH-04,1,1,2
