site_id,site_name,country_code,smr_key,criterion_id,code,action,metric,value,threshold,margin,margin_norm,severity
a70bbc9a-1469-4d56-be56-f282ed4130a8,Deniz power station,TR,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,0.4,8.0,-7.6,-0.95,critical
ad1e8841-e4e4-413b-820a-8c14e09da5a0,Çan (18 Mart) power station,TR,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,3.04,8.0,-4.96,-0.62,critical
ba1f1f36-18b4-49ae-9882-f90418dc88ce,Bandırma Elektrik power station,TR,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,0.56,8.0,-7.4399999999999995,-0.9299999999999999,critical
bcb86777-4a54-4891-bb26-35b201bbd57d,Aliağa Enka power station,TR,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,0.4,8.0,-7.6,-0.95,critical
bddb4fb7-c01d-4b71-bc30-1896b88298bf,Çırpılar power station,TR,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,1.96,8.0,-6.04,-0.755,critical
c13aeeb7-05e5-4f00-9b4b-654e73e5150d,Sanko Gölbaşı power station,TR,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,2.16,8.0,-5.84,-0.73,critical
cf918ba6-6226-479f-b04c-b3c67885c0ba,Kipas MMP power station,TR,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,0.84,8.0,-7.16,-0.895,critical
d110df11-ad8e-44dc-8a32-af692ca46c6f,Güneybatı Anadolu power station,TR,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,0.43,8.0,-7.57,-0.94625,critical
d19ed873-b20a-43fd-b7e8-62e985c88820,İzdemir Enerji power station,TR,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,1.03,8.0,-6.97,-0.87125,critical
e0e73325-5b32-4fef-b925-f0bb91114450,Helvacı power station,TR,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,4.12,8.0,-3.88,-0.485,severe
fd4f7f8c-0d23-450d-9ea0-1b8e52e9a8af,Yatağan power station,TR,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,0.96,8.0,-7.04,-0.88,critical
e05ff795-8984-4170-9874-5355b70985b1,Silopi (Şırnak) power station,TR,nuscale_voygr6,NH-04,E3,exclude,slope_angle_deg,31.48,25,6.48,0.25920000000000004,severe
28be296b-6ef5-4c7e-a604-3af01af45d17,Kosovo A power station,XK,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,3.53,8.0,-4.470000000000001,-0.5587500000000001,critical
76eba99c-dade-46dc-9130-478e43aa6202,Kosovo B power station,XK,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,2.29,8.0,-5.71,-0.71375,critical
d28fa85d-4f6c-4b26-a585-cb0bed226ecb,Kosovo C power station,XK,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,3.32,8.0,-4.68,-0.585,critical
d9f32912-81f1-4b1c-a2b1-f04298217cec,Istok power station,XK,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,0.95,8.0,-7.05,-0.88125,critical
