country_code,smr_key,rank,site_id,site_name,composite_score,composite_score_low,composite_score_high,qualification_mode,family_scores_json
CZ,nuscale_voygr6,7,9c4291f1-173b-467e-ae26-8cb01312c605,Plana Nad Luznici power station,6.773,5.896,7.309,normal,"{""categories"": {""EP"": 6.68, ""HI"": 6.47, ""NH"": 7.84, ""NS"": 5.13, ""RI"": 7.07}, ""notes"": [""high_unscored_fraction""], ""unscored_fraction"": 0.2323}"
CZ,nuscale_voygr6,8,e299922a-1670-4aff-acda-fd80600af9af,Mondi Steti power station,6.716,6.003,7.331,normal,"{""categories"": {""EP"": 6.68, ""HI"": 6.21, ""NH"": 7.22, ""NS"": 6.87, ""RI"": 6.36}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
CZ,nuscale_voygr6,9,180880c2-7284-4723-b02a-a62348b9b40b,Hodonin power station,6.672,5.967,7.181,normal,"{""categories"": {""EP"": 6.68, ""HI"": 6.47, ""NH"": 6.87, ""NS"": 6.3, ""RI"": 7.07}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
CZ,nuscale_voygr6,10,60baaa73-dd8c-4865-bb18-6c73d63a4052,Prerov power station,6.648,5.801,7.145,normal,"{""categories"": {""EP"": 6.68, ""HI"": 6.21, ""NH"": 7.44, ""NS"": 6.39, ""RI"": 6.14}, ""notes"": [""high_unscored_fraction""], ""unscored_fraction"": 0.2323}"
HR,nuscale_voygr6,1,ab151830-e5bd-46de-8400-01aa4c165366,Plomin power station,6.214,5.467,6.73,normal,"{""categories"": {""EP"": 6.68, ""HI"": 7.41, ""NH"": 5.18, ""NS"": 5.13, ""RI"": 7.14}, ""notes"": [""high_unscored_fraction""], ""unscored_fraction"": 0.2323}"
HU,nuscale_voygr6,1,997474f6-9bfd-4abd-a2ac-d8618db8f0b4,Mohacs power station,7.584,6.705,8.075,normal,"{""categories"": {""EP"": 6.68, ""HI"": 7.61, ""NH"": 7.76, ""NS"": 7.73, ""RI"": 7.64}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
HU,nuscale_voygr6,2,f7dcdb63-26e6-44cd-b440-ec14fe507d90,Borsod power station,6.941,6.184,7.381,normal,"{""categories"": {""EP"": 6.68, ""HI"": 5.81, ""NH"": 7.49, ""NS"": 7.5, ""RI"": 6.93}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
HU,nuscale_voygr6,3,059b3ad4-7196-4e6b-b169-8605ceeed841,Torony power station,6.872,5.972,7.336,normal,"{""categories"": {""EP"": 7.38, ""HI"": 7.01, ""NH"": 7.49, ""NS"": 7.13, ""RI"": 5.14}, ""notes"": [""high_unscored_fraction""], ""unscored_fraction"": 0.2323}"
HU,nuscale_voygr6,4,5de5f907-98e7-42d3-a7dd-cb65f839697b,Tiszapalkonya power station,6.778,6.053,7.319,normal,"{""categories"": {""EP"": 6.68, ""HI"": 6.21, ""NH"": 7.8, ""NS"": 5.96, ""RI"": 6.93}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
HU,nuscale_voygr6,5,903d6b94-cd9d-4c32-b7e2-4bbfbee929df,Matraterenye power station,6.641,5.795,7.158,normal,"{""categories"": {""EP"": 5.97, ""HI"": 7.27, ""NH"": 6.87, ""NS"": 5.2, ""RI"": 7.29}, ""notes"": [""high_unscored_fraction""], ""unscored_fraction"": 0.2323}"
HU,nuscale_voygr6,6,28b36531-865d-42ae-afb3-b8bad86f7014,Matra power station,6.23,5.48,6.691,normal,"{""categories"": {""EP"": 4.32, ""HI"": 4.57, ""NH"": 7.49, ""NS"": 6.39, ""RI"": 7.29}, ""notes"": [""high_unscored_fraction""], ""unscored_fraction"": 0.2323}"
HU,nuscale_voygr6,7,651839d3-4e8f-4214-89aa-1f96ea221121,Oroszlány power station,5.967,5.278,6.48,normal,"{""categories"": {""EP"": 5.97, ""HI"": 4.57, ""NH"": 6.78, ""NS"": 5.28, ""RI"": 7.07}, ""notes"": [""high_unscored_fraction""], ""unscored_fraction"": 0.2323}"
HU,nuscale_voygr6,8,ef325d90-6d2d-4f8f-89f2-3bc98beb149b,Bakony power station,5.73,5.096,6.191,normal,"{""categories"": {""EP"": 5.97, ""HI"": 4.57, ""NH"": 6.64, ""NS"": 4.17, ""RI"": 7.07}, ""notes"": [""high_unscored_fraction""], ""unscored_fraction"": 0.2323}"
HU,nuscale_voygr6,9,f2b3a729-602a-4b6b-acc9-004244f2e556,Banhida-II power station,5.418,4.856,5.954,normal,"{""categories"": {""EP"": 5.26, ""HI"": 5.27, ""NH"": 6.78, ""NS"": 5.28, ""RI"": 3.64}, ""notes"": [""high_unscored_fraction""], ""unscored_fraction"": 0.2323}"
HU,nuscale_voygr6,10,e1649639-2e45-4226-9c7a-783d2dcb6724,Pecs power station,5.411,4.851,5.977,normal,"{""categories"": {""EP"": 5.97, ""HI"": 5.41, ""NH"": 7.62, ""NS"": 3.57, ""RI"": 3.29}, ""notes"": [""high_unscored_fraction""], ""unscored_fraction"": 0.2323}"
LV,nuscale_voygr6,1,1a5b8f8f-f4be-4514-8738-755d25e19b41,Kurzeme power station,6.603,5.912,7.2,normal,"{""categories"": {""EP"": 5.97, ""HI"": 5.81, ""NH"": 7.09, ""NS"": 6.7, ""RI"": 7.07}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
MD,nuscale_voygr6,1,b3eb5dd2-98cf-40c4-b9ee-2a86fd066093,Kuchurgan power station,6.959,6.199,7.5,normal,"{""categories"": {""EP"": 5.26, ""HI"": 6.47, ""NH"": 7.22, ""NS"": 7.67, ""RI"": 7.29}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
ME,nuscale_voygr6,1,3795824b-cb76-48dd-a65c-764c757ddc76,Bar power station,6.023,5.321,6.467,normal,"{""categories"": {""EP"": 5.26, ""HI"": 7.41, ""NH"": 4.8, ""NS"": 6.39, ""RI"": 6.36}, ""notes"": [""high_unscored_fraction""], ""unscored_fraction"": 0.2323}"
ME,nuscale_voygr6,2,e77a7e7f-11ba-4e61-98da-f44471bc52ab,Berane power station,6.023,5.321,6.559,normal,"{""categories"": {""EP"": 3.62, ""HI"": 6.47, ""NH"": 6.33, ""NS"": 5.35, ""RI"": 7.07}, ""notes"": [""high_unscored_fraction""], ""unscored_fraction"": 0.2323}"
MK,nuscale_voygr6,1,1739b1b7-a6f3-466c-9dfa-3d1de9d5b6db,Bitola power station,6.812,5.927,7.329,normal,"{""categories"": {""EP"": 5.97, ""HI"": 6.81, ""NH"": 7.27, ""NS"": 6.98, ""RI"": 6.43}, ""notes"": [""high_unscored_fraction""], ""unscored_fraction"": 0.2323}"
MK,nuscale_voygr6,2,83d3abe4-2049-47ad-a66b-46034edb7569,Negotino power station,6.707,5.846,7.171,normal,"{""categories"": {""EP"": 5.97, ""HI"": 6.59, ""NH"": 7.67, ""NS"": 6.24, ""RI"": 6.21}, ""notes"": [""high_unscored_fraction""], ""unscored_fraction"": 0.2323}"
