site_id,name,country_code,latitude,longitude,smr_key,criterion_id,baseline_score,baseline_quality_flag,baseline_confidence,candidate_score,candidate_quality_flag,candidate_band,baseline_justification,fields_json
fee1d5b3-827f-4172-8492-a3e114a3c39e,Brikel power station,BG,42.154555,25.906814,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:08.977383+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
398cc0f2-25d5-428a-93c9-5e4859680e86,Deven power station,BG,43.196354,27.632675,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:09.097177+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
30c9e377-b575-46fa-880f-922c46e6500a,Lom Power Station,BG,43.7825,23.2175,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:09.227643+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
3bb6666f-de2f-4c6f-a28e-c3bddb71b54a,Maritsa 3 power station,BG,42.051942,25.623344,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:09.350227+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
d12d7173-8595-4b53-92af-75b44b5a2fb7,Maritsa Iztok-1 power station,BG,42.1573,25.9084,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:09.441973+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
ec5f337a-ca52-4b86-a0f4-4933eac349e3,Maritsa Iztok-2 power station,BG,42.254053,26.134007,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:09.532614+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
0e860f58-416b-4116-836d-04edf8ded225,Maritsa Iztok-3 power station,BG,42.14502,26.003009,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:09.614285+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
b1bcb7d3-cd40-40c9-9c59-a01fa71053b3,Maritsa Iztok-4 power station,BG,42.1444,26.0033,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:09.703807+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
33a015dd-51e0-497e-b0d3-4b1b3f070438,Republika power station,BG,42.607124,23.078699,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:09.809766+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
704ef487-f600-4f23-b06e-a0f81b627597,Ruse Iztok power station,BG,43.866654,26.010002,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:09.906769+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
