country_code,smr_key,criterion_id,family,criterion_name,mean_abs_rank_change,importance_score,pairs_compared,eligible_pair_count,small_n
HU,nuscale_voygr6,HI-05,HI,Transport hazards (hazmat road / rail / pipe),0.0,0.0,11,11,False
HU,nuscale_voygr6,HI-07,HI,Electromagnetic interference,0.0,0.0,11,11,False
HU,nuscale_voygr6,HI-08,HI,Other nuclear installations,0.0,0.0,11,11,False
HU,nuscale_voygr6,NH-01,NH,Seismic ground motion (PGA),0.0,0.0,11,11,False
HU,nuscale_voygr6,NH-06,NH,"Foundation conditions (bearing, bedrock, groundwater)",0.0,0.0,11,11,False
HU,nuscale_voygr6,NH-08,NH,"Coastal flooding (storm surge, tsunami)",0.0,0.0,11,11,False
HU,nuscale_voygr6,NH-09,NH,River flooding,0.0,0.0,11,11,False
HU,nuscale_voygr6,NH-10,NH,Extreme winds,0.0,0.0,11,11,False
HU,nuscale_voygr6,NH-11,NH,"Extreme precipitation (rain, snow, drought)",0.0,0.0,11,11,False
HU,nuscale_voygr6,NH-12,NH,Extreme temperatures,0.0,0.0,11,11,False
HU,nuscale_voygr6,NH-13,NH,Forest / wildfire,0.0,0.0,11,11,False
HU,nuscale_voygr6,NH-14,NH,Combined hazards,0.0,0.0,11,11,False
HU,nuscale_voygr6,NS-02,NS,Grid connection (detailed),0.0,0.0,11,11,False
HU,nuscale_voygr6,NS-03,NS,Transport access (heavy haul road / rail / port),0.0,0.0,11,11,False
HU,nuscale_voygr6,NS-06,NS,Existing infrastructure reuse,0.0,0.0,11,11,False
HU,nuscale_voygr6,NS-07,NS,Environmental impact (non-radiological),0.0,0.0,11,11,False
HU,nuscale_voygr6,NS-09,NS,Socioeconomic impact,0.0,0.0,11,11,False
HU,nuscale_voygr6,NS-10,NS,Workforce availability,0.0,0.0,11,11,False
HU,nuscale_voygr6,NS-11,NS,Coal-to-nuclear synergies,0.0,0.0,11,11,False
HU,nuscale_voygr6,NS-12,NS,Regulatory / political environment,0.0,0.0,11,11,False
HU,nuscale_voygr6,NS-13,NS,Construction logistics,0.0,0.0,11,11,False
HU,nuscale_voygr6,RI-01,RI,"Atmospheric dispersion (wind, stability, BLH)",0.0,0.0,11,11,False
HU,nuscale_voygr6,RI-02,RI,Surface water dispersion,0.0,0.0,11,11,False
HU,nuscale_voygr6,RI-03,RI,Groundwater dispersion,0.0,0.0,11,11,False
HU,nuscale_voygr6,RI-04,RI,Population density (EPZ rings),0.0,0.0,11,11,False
LV,nuscale_voygr6,BF-02,BF,Land / nuclear-island footprint,0.0,0.0,1,1,True
LV,nuscale_voygr6,EP-02,EP,Evacuation routes (road network),0.0,0.0,1,1,True
