criterion_a,criterion_b,pearson,spearman,max_abs,n_pairs,flagged
NH-01,NS-05,-0.0558,-0.0619,0.0619,2904,False
NH-12,NS-08,0.0573,0.0619,0.0619,2904,False
NH-03,NH-12,0.0468,0.0619,0.0619,2904,False
EP-02,NH-04,-0.0491,-0.0616,0.0616,2904,False
EP-02,HI-02,0.0611,0.0364,0.0611,2904,False
EP-02,HI-04,0.0611,0.0364,0.0611,2904,False
EP-01,HI-03,0.0592,0.02,0.0592,2904,False
HI-02,RI-02,0.0008,0.0575,0.0575,2904,False
HI-04,RI-02,0.0008,0.0575,0.0575,2904,False
NS-02,RI-06,-0.0191,-0.0575,0.0575,2904,False
EP-02,NH-05,-0.0574,-0.0462,0.0574,2904,False
BF-01,NS-01,0.0552,0.0383,0.0552,2904,False
HI-01,NH-04,-0.0552,-0.0545,0.0552,2904,False
NH-04,NH-06,-0.0241,0.055,0.055,2904,False
HI-01,HI-03,0.0547,0.0153,0.0547,2904,False
HI-04,RI-06,0.0176,0.0546,0.0546,2904,False
HI-02,RI-06,0.0176,0.0546,0.0546,2904,False
NH-02,NH-04,0.0544,0.0317,0.0544,2904,False
EP-01,NH-12,-0.0517,-0.0538,0.0538,2904,False
HI-01,NH-12,-0.0533,-0.0533,0.0533,2904,False
HI-03,RI-02,0.0319,0.0524,0.0524,2904,False
HI-01,NS-02,-0.052,-0.0447,0.052,2904,False
NH-03,NS-02,0.0351,0.0517,0.0517,2904,False
EP-02,NH-12,0.0419,0.0517,0.0517,2904,False
EP-01,RI-06,-0.0511,-0.0248,0.0511,2904,False
BF-02,EP-01,0.0507,0.0485,0.0507,2904,False
HI-03,HI-06,0.022,-0.05,0.05,2904,False
NH-03,RI-06,0.0262,0.0493,0.0493,2904,False
BF-01,NH-02,-0.032,-0.0486,0.0486,2904,False
NH-06,NS-02,-0.0173,-0.0481,0.0481,2904,False
HI-06,NH-04,-0.048,-0.0312,0.048,2904,False
EP-02,RI-02,-0.0479,-0.0381,0.0479,2904,False
NS-05,RI-02,-0.0224,-0.0476,0.0476,2904,False
NH-03,NS-05,0.0476,0.0298,0.0476,2904,False
BF-02,RI-02,-0.026,-0.0472,0.0472,2904,False
EP-02,NH-03,0.0465,0.0358,0.0465,2904,False
NH-05,NS-05,0.0453,0.0461,0.0461,2904,False
BF-01,NS-03,-0.0457,-0.0438,0.0457,2904,False
BF-01,NH-06,0.0169,0.0456,0.0456,2904,False
NS-02,RI-04,0.0448,0.0222,0.0448,2904,False
NS-02,RI-02,0.0404,0.0442,0.0442,2904,False
EP-01,RI-02,-0.0428,-0.0438,0.0438,2904,False
HI-03,NS-02,0.0422,0.0043,0.0422,2904,False
BF-02,NH-05,0.0421,0.0396,0.0421,2904,False
NH-05,NS-03,-0.0363,-0.04,0.04,2904,False
EP-01,NS-05,0.0395,0.0391,0.0395,2904,False
NH-02,NS-02,-0.0393,-0.0383,0.0393,2904,False
NH-05,NS-04,-0.0386,-0.0372,0.0386,2904,False
HI-03,NS-04,-0.0022,0.0384,0.0384,2904,False
NH-04,NS-02,0.0214,0.0383,0.0383,2904,False
HI-03,RI-04,0.0186,-0.0376,0.0376,2904,False
BF-02,HI-03,-0.037,-0.01,0.037,2904,False
HI-03,NH-03,0.0116,0.0367,0.0367,2904,False
NH-04,NS-01,0.0367,0.0339,0.0367,2904,False
BF-02,NS-03,-0.0364,-0.0302,0.0364,2904,False
NH-12,NS-05,-0.0357,-0.0225,0.0357,2904,False
HI-03,NH-06,-0.0167,-0.0355,0.0355,2904,False
RI-04,RI-06,-0.0349,-0.0096,0.0349,2904,False
BF-01,NH-05,0.0019,0.0341,0.0341,2904,False
EP-01,NS-01,-0.03,-0.034,0.034,2904,False
BF-02,NH-12,-0.0333,-0.0225,0.0333,2904,False
BF-02,NS-01,-0.0318,-0.0272,0.0318,2904,False
BF-01,HI-03,0.0318,-0.0174,0.0318,2904,False
BF-02,NH-03,0.0317,0.0289,0.0317,2904,False
BF-01,NH-12,0.0302,0.0317,0.0317,2904,False
HI-02,NS-02,-0.0312,0.0009,0.0312,2904,False
HI-04,NS-02,-0.0312,0.0009,0.0312,2904,False
BF-02,HI-02,-0.0107,0.0309,0.0309,2904,False
BF-02,HI-04,-0.0107,0.0309,0.0309,2904,False
HI-03,NS-01,0.0285,0.0216,0.0285,2904,False
NS-01,NS-05,-0.0214,-0.0284,0.0284,2904,False
NS-02,NS-08,0.0282,0.0042,0.0282,2904,False
BF-01,NH-03,0.0282,0.0033,0.0282,2904,False
NS-03,NS-05,-0.028,-0.0224,0.028,2904,False
BF-01,HI-01,0.0092,0.0279,0.0279,2904,False
NH-01,NH-04,-0.0058,-0.0278,0.0278,2904,False
BF-01,RI-02,0.0266,0.0176,0.0266,2904,False
HI-02,NH-03,-0.0035,0.0264,0.0264,2904,False
HI-04,NH-03,-0.0035,0.0264,0.0264,2904,False
EP-01,NH-04,-0.0258,-0.0179,0.0258,2904,False
NH-12,NS-02,0.0246,0.0178,0.0246,2904,False
BF-01,NH-01,0.024,-0.0113,0.024,2904,False
HI-01,RI-06,-0.0038,0.0239,0.0239,2904,False
HI-02,NS-05,-0.0059,0.0235,0.0235,2904,False
HI-04,NS-05,-0.0059,0.0235,0.0235,2904,False
HI-02,NH-05,0.0159,0.0221,0.0221,2904,False
HI-04,NH-05,0.0159,0.0221,0.0221,2904,False
HI-02,NH-04,0.016,0.0211,0.0211,2904,False
HI-04,NH-04,0.016,0.0211,0.0211,2904,False
HI-03,NS-05,-0.0203,-0.0067,0.0203,2904,False
NH-03,NH-06,0.0075,0.0192,0.0192,2904,False
NH-06,NH-12,-0.0049,0.0188,0.0188,2904,False
HI-06,NS-02,0.0186,0.011,0.0186,2904,False
NH-03,NS-08,-0.0064,-0.0168,0.0168,2904,False
BF-01,RI-06,0.0068,-0.0159,0.0159,2904,False
NH-06,RI-06,0.0157,-0.0101,0.0157,2904,False
HI-03,RI-06,0.0016,0.0152,0.0152,2904,False
EP-02,NS-01,-0.015,-0.0129,0.015,2904,False
NH-04,RI-06,0.0083,0.0147,0.0147,2904,False
NH-06,NS-01,0.0144,-0.0048,0.0144,2904,False
NH-03,NS-03,0.0133,0.013,0.0133,2904,False
HI-02,NS-01,-0.0126,0.0124,0.0126,2904,False
HI-04,NS-01,-0.0126,0.0124,0.0126,2904,False
HI-02,NH-12,0.0086,0.0112,0.0112,2904,False
HI-04,NH-12,0.0086,0.0112,0.0112,2904,False
NH-12,RI-04,0.0109,0.0022,0.0109,2904,False
HI-03,NH-12,0.0027,0.0101,0.0101,2904,False
NH-05,NH-12,-0.0092,0.0028,0.0092,2904,False
NH-01,NH-12,0.0087,0.0044,0.0087,2904,False
NS-01,RI-04,-0.0078,0.0022,0.0078,2904,False
NH-08,NH-11,0.0,0.0,0.0,2904,False
NH-08,NS-01,0.0,0.0,0.0,2904,False
NH-08,NH-14,0.0,0.0,0.0,2904,False
NH-08,NH-13,0.0,0.0,0.0,2904,False
NH-08,NH-12,0.0,0.0,0.0,2904,False
NH-07,RI-05,0.0,0.0,0.0,2904,False
NH-08,NS-03,0.0,0.0,0.0,2904,False
NH-08,NH-10,0.0,0.0,0.0,2904,False
NH-08,NH-09,0.0,0.0,0.0,2904,False
NH-07,RI-06,0.0,0.0,0.0,2904,False
NH-08,NS-02,0.0,0.0,0.0,2904,False
NH-11,NH-12,0.0,0.0,0.0,2904,False
NH-08,NS-04,0.0,0.0,0.0,2904,False
NH-08,NS-05,0.0,0.0,0.0,2904,False
NH-08,NS-06,0.0,0.0,0.0,2904,False
NH-08,NS-07,0.0,0.0,0.0,2904,False
NH-08,NS-08,0.0,0.0,0.0,2904,False
NH-08,NS-09,0.0,0.0,0.0,2904,False
NH-08,NS-10,0.0,0.0,0.0,2904,False
NH-08,NS-11,0.0,0.0,0.0,2904,False
NH-08,NS-12,0.0,0.0,0.0,2904,False
NH-08,NS-13,0.0,0.0,0.0,2904,False
NH-07,RI-03,0.0,0.0,0.0,2904,False
NH-07,RI-04,0.0,0.0,0.0,2904,False
NH-06,RI-05,0.0,0.0,0.0,2904,False
NH-07,RI-02,0.0,0.0,0.0,2904,False
NH-07,NS-02,0.0,0.0,0.0,2904,False
NH-06,RI-03,0.0,0.0,0.0,2904,False
NH-08,RI-02,0.0,0.0,0.0,2904,False
NH-07,NH-08,0.0,0.0,0.0,2904,False
NH-07,NH-09,0.0,0.0,0.0,2904,False
NH-07,NH-10,0.0,0.0,0.0,2904,False
NH-07,NH-11,0.0,0.0,0.0,2904,False
NH-07,NH-12,0.0,0.0,0.0,2904,False
NH-07,NH-13,0.0,0.0,0.0,2904,False
NH-07,NH-14,0.0,0.0,0.0,2904,False
NH-07,NS-01,0.0,0.0,0.0,2904,False
