country_code,smr_key,weight_profile,scenario_family,site_id,baseline_national_rank,scenario_national_rank,rank_delta,baseline_score,scenario_score,score_delta,eligible_pair_count,small_n
RO,nuscale_voygr6,w_HI_minus_20,weight,825dc024-9a53-4237-bf59-cbe0af0cf87d,10,10,0,6.082,6.096,0.014000000000000234,21,False
TR,nuscale_voygr6,w_HI_minus_20,weight,82aac38c-3037-466c-9b37-bff9da707645,40,40,0,6.573,6.509,-0.06400000000000006,110,False
MK,nuscale_voygr6,w_HI_minus_20,weight,83d3abe4-2049-47ad-a66b-46034edb7569,2,2,0,5.827,5.896,0.06899999999999995,3,False
UA,nuscale_voygr6,w_HI_minus_20,weight,83fede8b-5f92-429d-920d-9a8928a74780,4,4,0,6.697,6.661,-0.036000000000000476,20,False
RO,nuscale_voygr6,w_HI_minus_20,weight,8781d874-5923-4795-9c9f-b2a6c709025a,17,17,0,5.811,5.798,-0.0129999999999999,21,False
TR,nuscale_voygr6,w_HI_minus_20,weight,8a5dc384-e272-41ed-9868-a0686ac3fc7e,33,31,-2,6.664,6.604,-0.05999999999999961,110,False
PL,nuscale_voygr6,w_HI_minus_20,weight,8a9d5c87-7edc-49c3-85a2-d97727b9c9b2,24,24,0,6.425,6.429,0.004000000000000448,61,False
TR,nuscale_voygr6,w_HI_minus_20,weight,8b16dc60-1a2b-4b2c-bcad-1c334d246ae3,65,64,-1,6.288,6.251,-0.03699999999999992,110,False
TR,nuscale_voygr6,w_HI_minus_20,weight,8dd46a05-6e0c-4009-90ad-bd5909c25622,90,91,1,5.984,5.937,-0.04699999999999971,110,False
PL,nuscale_voygr6,w_HI_minus_20,weight,8dd8db4c-b62d-4f6b-a2ee-70a9ed785e7a,43,42,-1,5.925,5.957,0.03200000000000003,61,False
PL,nuscale_voygr6,w_HI_minus_20,weight,8e485f8a-5c68-4541-ab1d-77783f6fcb2d,17,17,0,6.762,6.801,0.03900000000000059,61,False
HU,nuscale_voygr6,w_HI_minus_20,weight,903d6b94-cd9d-4c32-b7e2-4bbfbee929df,5,6,1,6.338,6.28,-0.05799999999999983,11,False
AT,nuscale_voygr6,w_HI_minus_20,weight,90820fe3-9889-4faf-9906-7c528f8d7bc5,6,6,0,6.399,6.421,0.02200000000000024,6,False
TR,nuscale_voygr6,w_HI_minus_20,weight,9163ca37-1b31-409d-974f-9e7ed5e5f33d,55,52,-3,6.445,6.411,-0.034000000000000696,110,False
PL,nuscale_voygr6,w_HI_minus_20,weight,917008f5-fba1-4ef7-b82d-9aded2b69267,16,15,-1,6.812,6.842,0.02999999999999936,61,False
TR,nuscale_voygr6,w_HI_minus_20,weight,91f28dbb-16bd-449b-a20a-dc2b70cf2e66,69,71,2,6.206,6.146,-0.0600000000000005,110,False
TR,nuscale_voygr6,w_HI_minus_20,weight,94a5c55f-c499-41b1-81da-deaa36686399,21,19,-2,6.803,6.772,-0.030999999999999694,110,False
UA,nuscale_voygr6,w_HI_minus_20,weight,95872473-c476-4ceb-bcf5-54cfdf415e42,19,19,0,5.574,5.643,0.06899999999999995,20,False
RO,nuscale_voygr6,w_HI_minus_20,weight,958e4d82-853a-41f1-a442-94b4c4314221,2,2,0,7.272,7.258,-0.014000000000000234,21,False
TR,nuscale_voygr6,w_HI_minus_20,weight,96129c93-83a6-4b1c-929b-bfccba86a796,70,70,0,6.204,6.147,-0.056999999999999496,110,False
TR,nuscale_voygr6,w_HI_minus_20,weight,9699244b-14c0-4e27-afd1-105494fccd60,38,32,-6,6.584,6.587,0.0030000000000001137,110,False
CZ,nuscale_voygr6,w_HI_minus_20,weight,97ed917e-acfa-4002-be89-4ec44972ab45,21,21,0,5.85,5.856,0.006000000000000227,29,False
TR,nuscale_voygr6,w_HI_minus_20,weight,98019711-a8c3-424a-870e-00d4fea75ed1,88,89,1,6.036,5.986,-0.04999999999999982,110,False
RO,nuscale_voygr6,w_HI_minus_20,weight,9825e28e-fd6e-460d-9caf-0342563f9060,6,6,0,6.422,6.389,-0.032999999999999474,21,False
RS,nuscale_voygr6,w_HI_minus_20,weight,993ccce2-d5e1-498d-827d-8dbfeb42582b,3,2,-1,6.584,6.605,0.021000000000000796,6,False
