criterion_a,criterion_b,pearson,spearman,max_abs,n_pairs,flagged
EP-01,NS-03,-0.1871,-0.2001,0.2001,360,False
EP-01,NS-04,-0.1999,-0.1878,0.1999,360,False
HI-06,NH-08,-0.1971,-0.1653,0.1971,360,False
NH-08,NS-02,-0.1951,-0.1843,0.1951,360,False
BF-02,NS-02,0.1937,0.1909,0.1937,360,False
BF-02,NH-01,-0.1594,-0.1935,0.1935,360,False
NH-12,NS-05,-0.1776,-0.1932,0.1932,360,False
EP-02,NS-05,-0.1885,-0.1926,0.1926,360,False
HI-01,NH-06,0.1597,0.1921,0.1921,360,False
HI-03,NH-08,-0.1918,-0.1912,0.1918,360,False
NH-09,NS-01,-0.1915,-0.1705,0.1915,360,False
NH-02,RI-06,0.1808,0.1897,0.1897,360,False
HI-07,NH-04,-0.1896,-0.1881,0.1896,360,False
HI-01,NH-05,0.1829,0.1883,0.1883,360,False
HI-06,NS-05,0.1684,0.188,0.188,360,False
NH-07,RI-02,0.187,0.1597,0.187,360,False
BF-01,NS-04,-0.1515,-0.1866,0.1866,360,False
NH-02,RI-03,-0.1213,-0.1847,0.1847,360,False
NH-03,RI-02,-0.1751,-0.1846,0.1846,360,False
NH-14,RI-02,0.1724,0.1837,0.1837,360,False
NH-01,NS-05,-0.1483,-0.1833,0.1833,360,False
EP-02,NH-12,0.1823,0.1565,0.1823,360,False
BF-02,NH-07,-0.1596,-0.1801,0.1801,360,False
HI-06,NH-05,0.1771,0.1798,0.1798,360,False
HI-03,RI-02,-0.1797,-0.1739,0.1797,360,False
HI-01,NS-01,-0.1795,-0.1753,0.1795,360,False
NH-04,RI-03,0.1787,0.1276,0.1787,360,False
NS-04,RI-06,0.178,0.1315,0.178,360,False
EP-01,NH-06,0.1674,0.1774,0.1774,360,False
HI-07,NH-08,-0.1772,-0.1523,0.1772,360,False
NS-05,RI-04,0.1722,0.1759,0.1759,360,False
NH-01,RI-03,-0.1229,-0.1749,0.1749,360,False
RI-03,RI-06,-0.1378,-0.1748,0.1748,360,False
EP-04,NH-08,-0.1744,-0.1442,0.1744,360,False
HI-01,NH-02,-0.1319,-0.1742,0.1742,360,False
NH-03,RI-04,0.1738,0.1443,0.1738,360,False
NH-10,RI-03,-0.1723,-0.1541,0.1723,360,False
HI-06,RI-02,-0.1699,-0.1419,0.1699,360,False
HI-07,NH-06,0.0857,0.1689,0.1689,360,False
NS-01,RI-03,-0.1428,-0.1686,0.1686,360,False
EP-02,NH-07,0.1677,0.1606,0.1677,360,False
NH-04,NS-03,0.1667,0.1592,0.1667,360,False
NH-03,NH-14,0.1662,0.1519,0.1662,360,False
NH-11,RI-03,0.1493,0.1655,0.1655,360,False
HI-01,NH-14,-0.155,-0.1651,0.1651,360,False
NS-03,RI-04,-0.165,-0.1599,0.165,360,False
NH-02,RI-04,-0.0848,-0.163,0.163,360,False
HI-06,NH-02,-0.104,-0.163,0.163,360,False
BF-01,BF-02,0.1623,0.1613,0.1623,360,False
NH-05,NS-03,0.1622,0.1304,0.1622,360,False
NS-05,RI-05,0.1581,0.1618,0.1618,360,False
NH-12,NS-04,-0.1362,-0.1617,0.1617,360,False
BF-01,NS-05,0.1354,0.1616,0.1616,360,False
EP-01,HI-01,0.1584,0.1612,0.1612,360,False
NH-05,NH-06,0.0965,0.1611,0.1611,360,False
NH-05,NH-10,0.161,0.156,0.161,360,False
HI-07,NS-01,-0.1558,-0.161,0.161,360,False
EP-01,NS-02,0.1605,0.1595,0.1605,360,False
NH-12,RI-02,-0.1603,-0.0979,0.1603,360,False
NH-06,NS-05,0.136,0.1599,0.1599,360,False
NH-03,RI-05,0.1599,0.1341,0.1599,360,False
NS-03,RI-02,0.158,0.1102,0.158,360,False
HI-01,NH-10,0.1466,0.1578,0.1578,360,False
NS-08,RI-03,0.1265,0.1555,0.1555,360,False
NH-04,RI-04,-0.1554,-0.1524,0.1554,360,False
EP-01,NH-05,0.1314,0.1554,0.1554,360,False
NS-04,RI-02,0.1536,0.1542,0.1542,360,False
NH-06,NH-07,-0.0595,-0.1538,0.1538,360,False
HI-01,NS-05,0.1492,0.1522,0.1522,360,False
NH-12,NS-01,-0.1473,-0.1513,0.1513,360,False
NH-07,RI-04,-0.151,-0.1075,0.151,360,False
NH-08,NH-11,0.1509,0.1154,0.1509,360,False
NH-02,NH-06,-0.0605,-0.1506,0.1506,360,False
EP-04,NS-01,-0.1493,-0.1459,0.1493,360,False
HI-04,RI-04,0.1345,0.1491,0.1491,360,False
EP-03,NH-12,-0.1263,-0.1486,0.1486,360,False
HI-07,RI-05,0.148,0.1352,0.148,360,False
BF-01,HI-03,0.1166,0.1477,0.1477,360,False
NH-02,RI-02,0.1311,0.1473,0.1473,360,False
EP-02,NH-02,0.122,0.1473,0.1473,360,False
HI-01,NS-02,0.1328,0.1468,0.1468,360,False
NH-10,NS-03,0.1455,0.0997,0.1455,360,False
HI-04,RI-03,0.1455,0.125,0.1455,360,False
HI-01,NH-04,-0.1454,-0.1289,0.1454,360,False
HI-02,NH-06,0.1135,0.1448,0.1448,360,False
NS-03,RI-05,-0.1438,-0.131,0.1438,360,False
HI-02,RI-03,0.1436,0.1239,0.1436,360,False
EP-01,NH-01,-0.1435,-0.1335,0.1435,360,False
NS-01,NS-03,0.1423,0.1112,0.1423,360,False
BF-01,RI-03,0.0899,0.142,0.142,360,False
HI-03,NH-05,0.1164,0.1419,0.1419,360,False
NH-07,NH-11,0.13,0.1416,0.1416,360,False
NH-02,NH-05,-0.0698,-0.1414,0.1414,360,False
NH-04,NH-12,-0.1217,-0.1411,0.1411,360,False
HI-07,RI-02,-0.141,-0.1007,0.141,360,False
NH-06,RI-03,0.0966,0.1408,0.1408,360,False
EP-01,NH-03,0.1405,0.1315,0.1405,360,False
NH-11,RI-04,0.0876,0.1389,0.1389,360,False
BF-02,RI-04,0.1325,0.1385,0.1385,360,False
HI-02,NS-08,0.1383,0.1381,0.1383,360,False
HI-03,NS-02,0.1376,0.1381,0.1381,360,False
BF-02,EP-02,-0.1107,-0.1379,0.1379,360,False
NH-07,NS-05,-0.1358,-0.1369,0.1369,360,False
HI-04,NH-06,0.0811,0.1364,0.1364,360,False
RI-03,RI-04,0.1058,0.1364,0.1364,360,False
HI-01,RI-02,-0.1078,-0.1362,0.1362,360,False
HI-07,NH-11,-0.1354,-0.127,0.1354,360,False
HI-02,RI-04,0.1313,0.1349,0.1349,360,False
NH-04,RI-05,-0.1345,-0.125,0.1345,360,False
NH-06,NS-02,0.1143,0.1345,0.1345,360,False
NH-02,NH-12,-0.1166,-0.1334,0.1334,360,False
EP-04,NS-05,0.1103,0.1329,0.1329,360,False
EP-02,NH-11,-0.1068,-0.1316,0.1316,360,False
BF-02,RI-05,0.1002,0.1313,0.1313,360,False
BF-01,RI-04,0.112,0.1307,0.1307,360,False
HI-02,NH-01,-0.1132,-0.1305,0.1305,360,False
EP-04,NS-02,0.1138,0.1274,0.1274,360,False
NH-04,NS-01,0.1101,0.1269,0.1269,360,False
NH-10,NS-01,0.1268,0.1125,0.1268,360,False
HI-04,HI-06,0.107,0.1263,0.1263,360,False
HI-03,RI-06,-0.1259,-0.087,0.1259,360,False
NS-03,NS-04,0.1005,0.1254,0.1254,360,False
HI-06,NH-04,-0.1224,-0.1248,0.1248,360,False
BF-02,HI-01,0.1054,0.1246,0.1246,360,False
NH-03,NH-07,-0.1244,-0.0831,0.1244,360,False
HI-04,NS-08,0.124,0.1239,0.124,360,False
BF-01,NH-11,0.1214,0.1237,0.1237,360,False
EP-01,HI-03,0.1237,0.101,0.1237,360,False
EP-02,NS-02,-0.1206,-0.1237,0.1237,360,False
