site_id,name,country_code,latitude,longitude,smr_key,criterion_id,baseline_score,baseline_quality_flag,baseline_confidence,candidate_score,candidate_quality_flag,candidate_band,baseline_justification,fields_json
fee1d5b3-827f-4172-8492-a3e114a3c39e,Brikel power station,BG,42.154555,25.906814,nuscale_voygr6,HI-07,,,,1.5,scored,Very dense or nearby transmitter proxy: >100 transmitter-like features in radius or nearest feature < 2 km. Power class not measured.,,"{""hi07_comment"": ""Nearest transmitter: mast, 0.2 km. Total within 25 km: 29. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:52:56.112878+03:00"", ""human_run_id"": ""hi06_spf_20260512_185043"", ""nearest_transmitter_km"": 0.19, ""transmitter_count"": 29, ""transmitter_type"": ""mast""}"
398cc0f2-25d5-428a-93c9-5e4859680e86,Deven power station,BG,43.196354,27.632675,nuscale_voygr6,HI-07,,,,3.5,scored,Dense or near transmitter proxy: >25 features in radius or nearest feature < 5 km. Review RF/EMI controls.,,"{""hi07_comment"": ""Nearest transmitter: lighting, 3.9 km. Total within 25 km: 65. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:53:15.982998+03:00"", ""human_run_id"": ""hi06_spf_20260512_185043"", ""nearest_transmitter_km"": 3.86, ""transmitter_count"": 65, ""transmitter_type"": ""lighting""}"
30c9e377-b575-46fa-880f-922c46e6500a,Lom Power Station,BG,43.7825,23.2175,nuscale_voygr6,HI-07,,,,3.5,scored,Dense or near transmitter proxy: >25 features in radius or nearest feature < 5 km. Review RF/EMI controls.,,"{""hi07_comment"": ""Nearest transmitter: tower, 4.1 km. Total within 25 km: 18. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:53:37.418978+03:00"", ""human_run_id"": ""hi06_spf_20260512_185043"", ""nearest_transmitter_km"": 4.1, ""transmitter_count"": 18, ""transmitter_type"": ""tower""}"
3bb6666f-de2f-4c6f-a28e-c3bddb71b54a,Maritsa 3 power station,BG,42.051942,25.623344,nuscale_voygr6,HI-07,,,,1.5,scored,Very dense or nearby transmitter proxy: >100 transmitter-like features in radius or nearest feature < 2 km. Power class not measured.,,"{""hi07_comment"": ""Nearest transmitter: mast, 0.5 km. Total within 25 km: 34. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:53:54.353790+03:00"", ""human_run_id"": ""hi06_spf_20260512_185043"", ""nearest_transmitter_km"": 0.54, ""transmitter_count"": 34, ""transmitter_type"": ""mast""}"
d12d7173-8595-4b53-92af-75b44b5a2fb7,Maritsa Iztok-1 power station,BG,42.1573,25.9084,nuscale_voygr6,HI-07,,,,1.5,scored,Very dense or nearby transmitter proxy: >100 transmitter-like features in radius or nearest feature < 2 km. Power class not measured.,,"{""hi07_comment"": ""Nearest transmitter: mast, 0.2 km. Total within 25 km: 29. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:54:35.255905+03:00"", ""human_run_id"": ""hi06_spf_20260512_185043"", ""nearest_transmitter_km"": 0.21, ""transmitter_count"": 29, ""transmitter_type"": ""mast""}"
ec5f337a-ca52-4b86-a0f4-4933eac349e3,Maritsa Iztok-2 power station,BG,42.254053,26.134007,nuscale_voygr6,HI-07,,,,1.5,scored,Very dense or nearby transmitter proxy: >100 transmitter-like features in radius or nearest feature < 2 km. Power class not measured.,,"{""hi07_comment"": ""Nearest transmitter: mast, 0.3 km. Total within 25 km: 27. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:54:55.605409+03:00"", ""human_run_id"": ""hi06_spf_20260512_185043"", ""nearest_transmitter_km"": 0.35, ""transmitter_count"": 27, ""transmitter_type"": ""mast""}"
0e860f58-416b-4116-836d-04edf8ded225,Maritsa Iztok-3 power station,BG,42.14502,26.003009,nuscale_voygr6,HI-07,,,,1.5,scored,Very dense or nearby transmitter proxy: >100 transmitter-like features in radius or nearest feature < 2 km. Power class not measured.,,"{""hi07_comment"": ""Nearest transmitter: mast, 0.4 km. Total within 25 km: 28. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:55:12.231003+03:00"", ""human_run_id"": ""hi06_spf_20260512_185043"", ""nearest_transmitter_km"": 0.4, ""transmitter_count"": 28, ""transmitter_type"": ""mast""}"
b1bcb7d3-cd40-40c9-9c59-a01fa71053b3,Maritsa Iztok-4 power station,BG,42.1444,26.0033,nuscale_voygr6,HI-07,,,,1.5,scored,Very dense or nearby transmitter proxy: >100 transmitter-like features in radius or nearest feature < 2 km. Power class not measured.,,"{""hi07_comment"": ""Nearest transmitter: mast, 0.3 km. Total within 25 km: 28. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:55:27.995197+03:00"", ""human_run_id"": ""hi06_spf_20260512_185043"", ""nearest_transmitter_km"": 0.33, ""transmitter_count"": 28, ""transmitter_type"": ""mast""}"
33a015dd-51e0-497e-b0d3-4b1b3f070438,Republika power station,BG,42.607124,23.078699,nuscale_voygr6,HI-07,,,,1.5,scored,Very dense or nearby transmitter proxy: >100 transmitter-like features in radius or nearest feature < 2 km. Power class not measured.,,"{""hi07_comment"": ""Nearest transmitter: mast, 3.6 km. Total within 25 km: 125. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:56:03.830987+03:00"", ""human_run_id"": ""hi06_spf_20260512_185043"", ""nearest_transmitter_km"": 3.57, ""transmitter_count"": 125, ""transmitter_type"": ""mast""}"
704ef487-f600-4f23-b06e-a0f81b627597,Ruse Iztok power station,BG,43.866654,26.010002,nuscale_voygr6,HI-07,,,,1.5,scored,Very dense or nearby transmitter proxy: >100 transmitter-like features in radius or nearest feature < 2 km. Power class not measured.,,"{""hi07_comment"": ""Nearest transmitter: lighting, 1.5 km. Total within 25 km: 37. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:56:17.828465+03:00"", ""human_run_id"": ""hi06_spf_20260512_185043"", ""nearest_transmitter_km"": 1.51, ""transmitter_count"": 37, ""transmitter_type"": ""lighting""}"
93685558-3355-4da2-9a4a-4cccd89f9269,Sliven power station,BG,42.654762,26.325853,nuscale_voygr6,HI-07,,,,3.5,scored,Dense or near transmitter proxy: >25 features in radius or nearest feature < 5 km. Review RF/EMI controls.,,"{""hi07_comment"": ""Nearest transmitter: mast, 2.6 km. Total within 25 km: 60. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:57:51.754377+03:00"", ""human_run_id"": ""hi06_spf_20260512_185043"", ""nearest_transmitter_km"": 2.64, ""transmitter_count"": 60, ""transmitter_type"": ""mast""}"
2fb27566-cc7b-4530-8ff9-e55e3a1985bd,Svilosa power station,BG,43.642272,25.305007,nuscale_voygr6,HI-07,,,,3.5,scored,Dense or near transmitter proxy: >25 features in radius or nearest feature < 5 km. Review RF/EMI controls.,,"{""hi07_comment"": ""Nearest transmitter: communication, 4.7 km. Total within 25 km: 8. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:58:02.924731+03:00"", ""human_run_id"": ""hi06_spf_20260512_185043"", ""nearest_transmitter_km"": 4.75, ""transmitter_count"": 8, ""transmitter_type"": ""communication""}"
85c56b15-450b-4bb1-b75e-5ea00ee51cb2,Varna power station,BG,43.19477,27.765472,nuscale_voygr6,HI-07,,,,3.5,scored,Dense or near transmitter proxy: >25 features in radius or nearest feature < 5 km. Review RF/EMI controls.,,"{""hi07_comment"": ""Nearest transmitter: lighting, 5.4 km. Total within 25 km: 74. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:58:29.133942+03:00"", ""human_run_id"": ""hi06_spf_20260512_185043"", ""nearest_transmitter_km"": 5.37, ""transmitter_count"": 74, ""transmitter_type"": ""lighting""}"
a064c7ae-e699-4a94-a18c-79bdfe42bce3,Vidin Works power station,BG,43.948363,22.850904,nuscale_voygr6,HI-07,,,,1.5,scored,Very dense or nearby transmitter proxy: >100 transmitter-like features in radius or nearest feature < 2 km. Power class not measured.,,"{""hi07_comment"": ""Nearest transmitter: mast, 1.4 km. Total within 25 km: 51. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:58:44.825030+03:00"", ""human_run_id"": ""hi06_spf_20260512_185043"", ""nearest_transmitter_km"": 1.44, ""transmitter_count"": 51, ""transmitter_type"": ""mast""}"
68aabff9-e662-4b9f-b37d-4c2ebc5f7539,Lelchitsy power station,BY,51.789444,28.321389,nuscale_voygr6,HI-07,,,,1.5,scored,Very dense or nearby transmitter proxy: >100 transmitter-like features in radius or nearest feature < 2 km. Power class not measured.,,"{""hi07_comment"": ""Nearest transmitter: mast, 0.7 km. Total within 25 km: 49. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:58:56.658575+03:00"", ""human_run_id"": ""hi06_spf_20260512_185043"", ""nearest_transmitter_km"": 0.74, ""transmitter_count"": 49, ""transmitter_type"": ""mast""}"
fac3d0b5-36a5-48ae-8494-f2f08e4342f4,Zelwa power station,BY,53.15,24.8167,nuscale_voygr6,HI-07,,,,1.5,scored,Very dense or nearby transmitter proxy: >100 transmitter-like features in radius or nearest feature < 2 km. Power class not measured.,,"{""hi07_comment"": ""Nearest transmitter: lighting, 0.6 km. Total within 25 km: 214. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:59:27.577210+03:00"", ""human_run_id"": ""hi06_spf_20260512_185043"", ""nearest_transmitter_km"": 0.62, ""transmitter_count"": 214, ""transmitter_type"": ""lighting""}"
d762ceeb-514f-43a6-9f91-a2d422ed6c60,Chvaletice power station,CZ,50.028062,15.450504,nuscale_voygr6,HI-07,,,,1.5,scored,Very dense or nearby transmitter proxy: >100 transmitter-like features in radius or nearest feature < 2 km. Power class not measured.,,"{""hi07_comment"": ""Nearest transmitter: communication, 0.9 km. Total within 25 km: 384. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:59:50.069110+03:00"", ""human_run_id"": ""hi06_spf_20260512_185043"", ""nearest_transmitter_km"": 0.86, ""transmitter_count"": 384, ""transmitter_type"": ""communication""}"
