run_id,axis,scope_smr_key,key,metric,value,extra,created_at
fail_20260425b_ff84d75e,country,_all_,LV,hard_only,0.0,,2026-04-25 14:20:46.093388+00:00
fail_20260425b_ff84d75e,country,_all_,LV,floor_only,8.0,,2026-04-25 14:20:46.093388+00:00
fail_20260425b_ff84d75e,country,_all_,LV,n_sites_with_survivor,0.0,,2026-04-25 14:20:46.093389+00:00
fail_20260425b_ff84d75e,country,_all_,MD,n_sites_with_survivor,0.0,,2026-04-25 14:20:46.093390+00:00
fail_20260425b_ff84d75e,country,_all_,MD,n_sites,1.0,,2026-04-25 14:20:46.093389+00:00
fail_20260425b_ff84d75e,country,_all_,MD,n_pairs,8.0,,2026-04-25 14:20:46.093389+00:00
fail_20260425b_ff84d75e,country,_all_,MD,survived,0.0,,2026-04-25 14:20:46.093389+00:00
fail_20260425b_ff84d75e,country,_all_,MD,hard_only,0.0,,2026-04-25 14:20:46.093390+00:00
fail_20260425b_ff84d75e,country,_all_,MD,floor_only,0.0,,2026-04-25 14:20:46.093390+00:00
fail_20260425b_ff84d75e,country,_all_,MD,both,8.0,,2026-04-25 14:20:46.093390+00:00
fail_20260425b_ff84d75e,country,_all_,ME,survived,0.0,,2026-04-25 14:20:46.093376+00:00
fail_20260425b_ff84d75e,country,_all_,ME,n_pairs,32.0,,2026-04-25 14:20:46.093375+00:00
fail_20260425b_ff84d75e,country,_all_,ME,n_sites,4.0,,2026-04-25 14:20:46.093375+00:00
fail_20260425b_ff84d75e,country,_all_,ME,n_sites_with_survivor,0.0,,2026-04-25 14:20:46.093377+00:00
fail_20260425b_ff84d75e,country,_all_,ME,both,24.0,,2026-04-25 14:20:46.093376+00:00
fail_20260425b_ff84d75e,country,_all_,ME,floor_only,8.0,,2026-04-25 14:20:46.093376+00:00
fail_20260425b_ff84d75e,country,_all_,ME,hard_only,0.0,,2026-04-25 14:20:46.093376+00:00
fail_20260425b_ff84d75e,country,_all_,MK,survived,0.0,,2026-04-25 14:20:46.093377+00:00
fail_20260425b_ff84d75e,country,_all_,MK,n_pairs,32.0,,2026-04-25 14:20:46.093377+00:00
