country_code,site_name,site_id,ep01_composite_score,ep01_road_score,ep01_special_pop_score,ep01_geography_score,ep01_population_score,ep01_quality,ep01_comment,road_density_km_per_km2,total_road_km,has_motorway_access,ep02_quality,ep02_comment,major_river_barrier,waterway_count_epz,ep03_quality,ep03_comment,hospital_count_epz,prison_count_epz,care_home_count_epz,ep04_quality,ep04_comment,concurrent_hazard_notes,ep05_quality,ep05_comment,fetched_at,run_id,ep01_evacuation_feasible,ep01_terrain_score,ep03_gee_relief_16km_m,ep03_gee_mountain_barrier_score,ep03_cross_source_summary,source_db,merge_run_id
TR,Yüksek Gölovası power station,57c0c830-725f-46ee-9322-0a4a3ad9efda,57.8,60.0,90.0,95.0,95.0,high,"DRV-02 composite: 57.8/100 (FEASIBLE). Sub-scores: ep01_roads=0; ep01_special_pop=90; ep01_geography=95; ep01_terrain=10; ep01_population=95. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.633,1243.43,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=0 | extreme_precip_months=0 | max_snowfall=0.0mm/day | source=copernicus_era5,False,0,medium,"0 waterway(s), major river barrier: no",15,0,0,medium,"15 hospital/clinic, 0 prison, 0 care home within EPZ (total 15 facilities). Source: OSM Overpass [FIX-05 amenities]",,,,2026-04-20 21:28:50.903030+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
TR,Yumurtalık IC İçtaş power station,91f28dbb-16bd-449b-a20a-dc2b70cf2e66,32.4,30.7,60.0,95.0,13.5,high,"DRV-02 composite: 32.4/100 (FEASIBLE). Sub-scores: ep01_roads=31; ep01_special_pop=60; ep01_geography=95; ep01_terrain=10; ep01_population=14. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.207,406.13,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=0 | extreme_precip_months=0 | max_snowfall=0.0mm/day | source=copernicus_era5,False,0,medium,"0 waterway(s), major river barrier: no",4,0,0,medium,"4 hospital/clinic, 0 prison, 0 care home within EPZ",,,,2026-04-20 21:28:50.915897+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
TR,Yunus Emre power station,48149515-0774-404d-b273-790b660a8d90,35.8,42.2,0.0,10.0,95.0,high,"DRV-02 composite: 35.8/100 (FEASIBLE). Sub-scores: ep01_roads=0; ep01_special_pop=0; ep01_geography=10; ep01_terrain=10; ep01_population=95. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.336,658.79,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=0 | extreme_precip_months=0 | max_snowfall=0.0mm/day | source=copernicus_era5,True,25,medium,"25 waterway(s), major river barrier: yes",1,2,0,medium,"1 hospital/clinic, 2 prison, 0 care home within EPZ",,,,2026-04-20 21:28:50.929028+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
TR,Zafer power station,772e2484-419b-47de-9739-924ac371ad10,57.8,60.5,90.0,95.0,95.0,high,"DRV-02 composite: 57.8/100 (FEASIBLE). Sub-scores: ep01_roads=0; ep01_special_pop=90; ep01_geography=95; ep01_terrain=10; ep01_population=95. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.642,1260.09,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=3 | extreme_precip_months=0 | max_snowfall=0.1mm/day | source=copernicus_era5,False,0,medium,"0 waterway(s), major river barrier: no",7,1,0,medium,"7 hospital/clinic, 1 prison, 0 care home within EPZ (total 8 facilities). Source: OSM Overpass [FIX-05 amenities]",,,,2026-04-20 21:28:50.941975+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
TR,ZETES power stations,1f305180-6bbf-4758-9a98-78bc9e96e195,45.5,56.1,90.0,95.0,60.0,high,"DRV-02 composite: 45.5/100 (FEASIBLE). Sub-scores: ep01_roads=0; ep01_special_pop=90; ep01_geography=95; ep01_terrain=10; ep01_population=60. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.568,1115.11,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=0 | extreme_precip_months=0 | max_snowfall=0.1mm/day | source=copernicus_era5,False,0,medium,"0 waterway(s), major river barrier: no",14,1,0,medium,"14 hospital/clinic, 1 prison, 0 care home within EPZ (total 15 facilities). Source: OSM Overpass [FIX-05 amenities]",,,,2026-04-20 21:28:50.953906+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
TR,Zonguldak Modern power station,fa6b7ac3-c1bf-478f-8d0a-1f357ea480cf,36.8,55.8,90.0,95.0,35.0,high,"DRV-02 composite: 36.8/100 (FEASIBLE). Sub-scores: ep01_roads=0; ep01_special_pop=90; ep01_geography=95; ep01_terrain=10; ep01_population=35. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.563,1105.67,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=0 | extreme_precip_months=0 | max_snowfall=0.1mm/day | source=copernicus_era5,False,0,medium,"0 waterway(s), major river barrier: no",14,1,0,medium,"14 hospital/clinic, 1 prison, 0 care home within EPZ (total 15 facilities). Source: OSM Overpass [FIX-05 amenities]",,,,2026-04-20 21:28:50.965541+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
TR,Zorlu Akçakoca power station,7cc9cffa-e4e4-4546-902d-c8f4800dbdb2,45.5,54.6,90.0,95.0,60.0,high,"DRV-02 composite: 45.5/100 (FEASIBLE). Sub-scores: ep01_roads=0; ep01_special_pop=90; ep01_geography=95; ep01_terrain=10; ep01_population=60. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.544,1068.11,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=2 | extreme_precip_months=0 | max_snowfall=0.1mm/day | source=copernicus_era5,False,0,medium,"0 waterway(s), major river barrier: no",14,1,0,medium,"14 hospital/clinic, 1 prison, 0 care home within EPZ (total 15 facilities). Source: OSM Overpass [FIX-05 amenities]",,,,2026-04-20 21:28:50.978398+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
TR,Zorlu Soma power station,61b7e396-5c25-4591-9da1-eb54475f1805,30.2,70.4,90.0,95.0,16.3,high,"DRV-02 composite: 30.2/100 (FEASIBLE). Sub-scores: ep01_roads=0; ep01_special_pop=90; ep01_geography=95; ep01_terrain=10; ep01_population=16. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.816,1602.13,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=0 | extreme_precip_months=0 | max_snowfall=0.1mm/day | source=copernicus_era5,False,0,medium,"0 waterway(s), major river barrier: no",9,2,0,medium,"9 hospital/clinic, 2 prison, 0 care home within EPZ (total 11 facilities). Source: OSM Overpass [FIX-05 amenities]",,,,2026-04-20 21:28:50.989756+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
UA,Burshtyn power station,c47eb6a3-49c1-4879-95b6-9bcd53b7af04,52.5,42.6,90.0,95.0,80.0,high,"DRV-02 composite: 52.5/100 (FEASIBLE). Sub-scores: ep01_roads=0; ep01_special_pop=90; ep01_geography=95; ep01_terrain=10; ep01_population=80. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.344,675.3,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=1 | extreme_precip_months=0 | max_snowfall=0.1mm/day | source=copernicus_era5,False,0,medium,"0 waterway(s), major river barrier: no",10,1,0,medium,"10 hospital/clinic, 1 prison, 0 care home within EPZ (total 11 facilities). Source: OSM Overpass [FIX-05 amenities]",,,,2026-04-20 21:28:51.000394+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
UA,Cherkasy power station,95872473-c476-4ceb-bcf5-54cfdf415e42,27.3,33.2,90.0,95.0,8.1,high,"DRV-02 composite: 27.3/100 (NOT FEASIBLE). Sub-scores: ep01_roads=0; ep01_special_pop=90; ep01_geography=95; ep01_terrain=10; ep01_population=8. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.354,695.58,False,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=0 | extreme_precip_months=0 | max_snowfall=0.1mm/day | source=copernicus_era5,False,0,medium,"0 waterway(s), major river barrier: no",73,3,0,medium,"73 hospital/clinic, 3 prison, 0 care home within EPZ (total 76 facilities). Source: OSM Overpass [FIX-05 amenities]",,,,2026-04-20 21:28:51.012676+00:00,audit_postlogging_20260421,False,10.0,,,,api,merge_phase2_20260421
