ranking_id,site_id,smr_key,composite_score,rank_position,passed_exclusionary,passed_avoidance,criteria_coverage,avg_confidence,sensitivity_stable,per_category_scores,run_id,ranked_at,composite_score_low,composite_score_high,weight_profile,site_name,country_code
acfb65e1-6d74-4ff4-b9a5-b95512250c9c,287cbb48-bb08-40dd-82c5-cfe1530dfbb9,nuscale_voygr6,,,False,True,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.513796+00:00,,,baseline,Tusimice power station,CZ
f5fa8ef5-c286-4bfa-9da9-133c4f110df5,d110df11-ad8e-44dc-8a32-af692ca46c6f,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.857577+00:00,,,baseline,Güneybatı Anadolu power station,TR
c75e0b49-3636-4156-9821-70fc1e2dbaad,e10aae79-05b7-4ad9-9d69-60ce190b4444,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.868849+00:00,,,baseline,Hande power station,TR
440dbf6a-d04e-4b02-a9b0-b47d7fe77f58,55cfe45b-6357-40f9-8623-e9916f91f839,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.889468+00:00,,,baseline,Kahramanmaraş Anadolu power station,TR
103c89e6-f786-4d33-8c5e-15b0a8845399,a733fc13-11a4-4722-b62d-85c85a4f8ef3,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.462590+00:00,,,baseline,Detmarovice power station,CZ
ce58b3e3-faac-4bf5-95d3-45151aa66345,7af0e000-3d19-4e5e-b504-f74897f1510c,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.519513+00:00,,,baseline,Ploče power station,HR
eb6969d8-79f0-43ad-bbc3-54cff718d0c6,8e7f6abf-e420-4f40-b9da-9ea76ccedfb1,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.901313+00:00,,,baseline,Kemerköy power station,TR
8d12c168-3bfa-4e7d-aeeb-c1dd0aad4a86,2a3aad60-2bff-4206-8275-f6e2029f9278,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.916167+00:00,,,baseline,Kütahya Domaniç power station,TR
46aab4b2-4ebe-4fe1-8e3a-6a8ef9d51320,f2b3a729-602a-4b6b-acc9-004244f2e556,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.525187+00:00,,,baseline,Banhida-II power station,HU
4d4e1381-b1f4-4ee7-91f2-a538808d12f9,5de5f907-98e7-42d3-a7dd-cb65f839697b,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.539802+00:00,,,baseline,Tiszapalkonya power station,HU
66b9612b-3c11-4a23-9622-970bc99403e2,059b3ad4-7196-4e6b-b169-8605ceeed841,nuscale_voygr6,,,False,True,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.541648+00:00,,,baseline,Torony power station,HU
68a456b7-e361-49a4-8d08-853bf03cde90,1820429d-bd95-4e56-a6db-d9bb57e2ae07,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.921724+00:00,,,baseline,Mersin Gülnar power station,TR
00bb8079-7ac7-4d45-a4a4-1e832b7da495,21ccc44f-3244-4e7f-9654-eae424288200,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.932216+00:00,,,baseline,Naren Karabiga power station,TR
7f83a921-7708-468e-82d0-15129a46e168,3795824b-cb76-48dd-a65c-764c757ddc76,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.547272+00:00,,,baseline,Bar power station,ME
59f920e9-2a1c-4784-8ead-762556b32744,e77a7e7f-11ba-4e61-98da-f44471bc52ab,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.548802+00:00,,,baseline,Berane power station,ME
56e0d954-89c7-48a8-a906-d619f947e22a,7bff5ef2-646d-4b83-83b0-7f3da32f0254,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.556896+00:00,,,baseline,Mariovo power station,MK
472f5f65-b643-4fe6-ae3a-c68c4e32644b,2ed9363f-a9fe-46e5-8b92-c50b47a9077a,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.940525+00:00,,,baseline,Saltukova power station,TR
982e9504-89ae-4f93-ab40-974620002f28,e05ff795-8984-4170-9874-5355b70985b1,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.955982+00:00,,,baseline,Silopi (Şırnak) power station,TR
65d36b1e-263a-4b4c-a658-6873adb58b05,1739b1b7-a6f3-466c-9dfa-3d1de9d5b6db,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.555319+00:00,,,baseline,Bitola power station,MK
aa1d08bf-7200-467f-a894-b371a1864a71,06641fea-8997-4b69-a618-6afa34b82591,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.567633+00:00,,,baseline,Bialystok power station,PL
07d0ab77-ffe6-4930-a6ad-d214bbd11dd2,cf9150af-0325-44d8-bbaf-493e742f2e2b,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.959197+00:00,,,baseline,Şırnak Galata power station,TR
77e3756f-9261-42da-8356-bd9846022a9f,ccc15bde-1c5a-40bf-8f09-2fcb1e896ce5,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.570961+00:00,,,baseline,Blachownia power station,PL
