run_id,site_id,smr_key,scope_country_code,band,top5pct_hit_rate,top10pct_hit_rate,top30pct_hit_rate,scenarios_total,scenarios_scored,created_at,site_name,country_code
p16_20260425T141705_5037b797,f2b3a729-602a-4b6b-acc9-004244f2e556,nuscale_voygr6,HU,H,0.0,0.0,0.0,14,14,2026-04-25 14:18:55.244038+00:00,Banhida-II power station,HU
p16_20260425T141705_5037b797,28b36531-865d-42ae-afb3-b8bad86f7014,nuscale_voygr6,HU,H,0.0,0.0,0.0,14,14,2026-04-25 14:18:55.244037+00:00,Matra power station,HU
p16_20260425T141705_5037b797,903d6b94-cd9d-4c32-b7e2-4bbfbee929df,nuscale_voygr6,HU,H,0.0,0.0,0.0,14,14,2026-04-25 14:18:55.244037+00:00,Matraterenye power station,HU
p16_20260425T141705_5037b797,34d88ce8-d49c-4b19-af2d-6efcb1b72149,nuscale_voygr6,HU,H,0.0,0.0,0.0,14,14,2026-04-25 14:18:55.244037+00:00,Mecsek Hills power station,HU
p16_20260425T141705_5037b797,651839d3-4e8f-4214-89aa-1f96ea221121,nuscale_voygr6,HU,H,0.0,0.0,0.0,14,14,2026-04-25 14:18:55.244037+00:00,Oroszlány power station,HU
p16_20260425T141705_5037b797,059b3ad4-7196-4e6b-b169-8605ceeed841,nuscale_voygr6,HU,H,0.0,0.0,0.0,14,14,2026-04-25 14:18:55.244037+00:00,Torony power station,HU
p16_20260425T141705_5037b797,1a5b8f8f-f4be-4514-8738-755d25e19b41,nuscale_voygr6,LV,A,1.0,1.0,1.0,14,14,2026-04-25 14:18:55.247509+00:00,Kurzeme power station,LV
p16_20260425T141705_5037b797,b3eb5dd2-98cf-40c4-b9ee-2a86fd066093,nuscale_voygr6,MD,A,1.0,1.0,1.0,14,14,2026-04-25 14:18:55.250579+00:00,Kuchurgan power station,MD
p16_20260425T141705_5037b797,3795824b-cb76-48dd-a65c-764c757ddc76,nuscale_voygr6,ME,A,1.0,1.0,1.0,14,14,2026-04-25 14:18:55.255476+00:00,Bar power station,ME
p16_20260425T141705_5037b797,1739b1b7-a6f3-466c-9dfa-3d1de9d5b6db,nuscale_voygr6,MK,A,1.0,1.0,1.0,14,14,2026-04-25 14:18:55.259880+00:00,Bitola power station,MK
