run_id,site_id,smr_key,country_code,bucket,n_hard,n_floor,n_distinct_failures,hard_criteria,floor_criteria,created_at,site_name,country_code
fail_20260425b_ff84d75e,fee1d5b3-827f-4172-8492-a3e114a3c39e,nuscale_voygr6,BG,both,1,1,2,['NH-02'],['EP-01'],2026-04-25 14:20:46.515144+00:00,Brikel power station,BG
fail_20260425b_ff84d75e,398cc0f2-25d5-428a-93c9-5e4859680e86,nuscale_voygr6,BG,both,1,1,2,['NH-02'],['EP-01'],2026-04-25 14:20:46.514018+00:00,Deven power station,BG
fail_20260425b_ff84d75e,d12d7173-8595-4b53-92af-75b44b5a2fb7,nuscale_voygr6,BG,both,1,1,2,['NH-02'],['EP-01'],2026-04-25 14:20:46.514752+00:00,Maritsa Iztok-1 power station,BG
fail_20260425b_ff84d75e,b1bcb7d3-cd40-40c9-9c59-a01fa71053b3,nuscale_voygr6,BG,both,1,1,2,['NH-02'],['EP-01'],2026-04-25 14:20:46.514751+00:00,Maritsa Iztok-4 power station,BG
fail_20260425b_ff84d75e,33a015dd-51e0-497e-b0d3-4b1b3f070438,nuscale_voygr6,BG,both,1,2,3,['EP-01'],"['NH-02', 'NH-04']",2026-04-25 14:20:46.514018+00:00,Republika power station,BG
fail_20260425b_ff84d75e,93685558-3355-4da2-9a4a-4cccd89f9269,nuscale_voygr6,BG,both,1,1,2,['NH-02'],['EP-01'],2026-04-25 14:20:46.514376+00:00,Sliven power station,BG
fail_20260425b_ff84d75e,85c56b15-450b-4bb1-b75e-5ea00ee51cb2,nuscale_voygr6,BG,both,1,1,2,['NH-02'],['EP-01'],2026-04-25 14:20:46.514375+00:00,Varna power station,BG
fail_20260425b_ff84d75e,d762ceeb-514f-43a6-9f91-a2d422ed6c60,nuscale_voygr6,CZ,both,1,1,1,['NH-05'],['NH-05'],2026-04-25 14:20:46.515613+00:00,Chvaletice power station,CZ
fail_20260425b_ff84d75e,a733fc13-11a4-4722-b62d-85c85a4f8ef3,nuscale_voygr6,CZ,both,1,3,3,['NH-05'],"['EP-01', 'NH-04', 'NH-05']",2026-04-25 14:20:46.515612+00:00,Detmarovice power station,CZ
fail_20260425b_ff84d75e,180880c2-7284-4723-b02a-a62348b9b40b,nuscale_voygr6,CZ,both,1,3,3,['NH-05'],"['EP-01', 'NH-04', 'NH-05']",2026-04-25 14:20:46.515608+00:00,Hodonin power station,CZ
fail_20260425b_ff84d75e,43e5b2b4-2ccf-46ab-b01e-e3d480146455,nuscale_voygr6,CZ,both,1,3,3,['NH-05'],"['EP-01', 'NH-04', 'NH-05']",2026-04-25 14:20:46.515610+00:00,Karvina power station,CZ
fail_20260425b_ff84d75e,f1d2bca1-a7a9-4404-84c1-34fc8a59dab7,nuscale_voygr6,CZ,both,1,2,2,['NH-05'],"['EP-01', 'NH-05']",2026-04-25 14:20:46.515613+00:00,Kladno power station,CZ
