site_id,name,country_code,country_name,latitude,longitude,plant_type,status,region,elevation_m,installed_capacity_mw,site_area_ha
44d40276-5847-41d1-ab9b-887bbdc1bcfe,Olomouc power station,CZ,Czech Republic,49.570879,17.304121,coal,operating,Europe,219.05,50.0,24.21
05daa6b2-bb29-4c26-a459-855626673955,Opatovice power station,CZ,Czech Republic,50.12283,15.790765,lignite,operating,Europe,226.38,360.0,57.17
9c4291f1-173b-467e-ae26-8cb01312c605,Plana Nad Luznici power station,CZ,Czech Republic,49.368459,14.702139,lignite,retired,Europe,418.83,46.5,10.59
97ed917e-acfa-4002-be89-4ec44972ab45,Plzen CHP power station,CZ,Czech Republic,49.754333,13.398754,lignite,operating,Europe,318.52,137.0,123.88
a6bf9980-016e-47ea-b40a-82e384a9eb43,Plzenska energetika ELU III power station,CZ,Czech Republic,49.739529,13.345461,lignite,operating,Europe,345.94,65.0,5.56
32484f7b-18a4-4b21-8e6a-6d68ae099d02,Pocerady power station,CZ,Czech Republic,50.4267,13.6747,lignite,operating,Europe,215.31,1000.0,90.76
20bce4f5-ca0b-4145-87e5-0a0694343f31,Porici power station,CZ,Czech Republic,50.572812,15.963992,lignite,operating,Europe,395.59,165.0,24.51
60baaa73-dd8c-4865-bb18-6c73d63a4052,Prerov power station,CZ,Czech Republic,49.445061,17.428525,lignite,retired,Europe,214.46,41.0,171.62
0ae8917b-a70b-41e5-82de-e4963a7686e3,Pribram power station,CZ,Czech Republic,49.696,14.003,lignite,operating,Europe,484.58,38.0,41.44
b0ba194f-3c80-4725-b1e7-fa5277b38833,Prunerov power station,CZ,Czech Republic,50.415122,13.255958,lignite,operating,Europe,353.15,2240.0,73.96
20c9d02d-e9e8-40b3-a11e-7a2e01018d8c,Sko-Energo power station,CZ,Czech Republic,50.41721,14.93293,coal,operating,Europe,213.41,70.0,30.05
14e88076-ce0e-4693-bca4-e80f3f013c7f,Tisova power station,CZ,Czech Republic,50.149402,12.610338,lignite,operating,Europe,417.81,276.0,37.5
66c3f077-1ee6-41d7-8e6c-da374bb45139,Trebovice power station,CZ,Czech Republic,49.831905,18.211305,coal,operating,Europe,218.02,177.0,38.58
63601ccc-3f20-4cbd-95cb-0fbeaf821c6a,Trinec-E3 power station,CZ,Czech Republic,49.677778,18.672778,lignite,operating,Europe,315.84,32.0,58.7
287cbb48-bb08-40dd-82c5-cfe1530dfbb9,Tusimice power station,CZ,Czech Republic,50.381868,13.339973,lignite,operating,Europe,313.81,800.0,104.46
5f4ed23c-cea2-41ef-a3e8-ac863e1bdcd6,Vresova TPS power station,CZ,Czech Republic,50.255816,12.695936,lignite,retired,Europe,484.58,400.0,106.98
aa38441d-aec7-4ae9-b4c3-68c5bf567db3,Zlin power station,CZ,Czech Republic,49.225,17.654,lignite,operating,Europe,214.0,30.0,11.63
7af0e000-3d19-4e5e-b504-f74897f1510c,Ploče power station,HR,Croatia,43.05,17.433333,coal,cancelled,Europe,1.59,800.0,238.74
ab151830-e5bd-46de-8400-01aa4c165366,Plomin power station,HR,Croatia,45.136764,14.162702,coal,operating,Europe,5.88,842.0,21.14
ef325d90-6d2d-4f8f-89f2-3bc98beb149b,Bakony power station,HU,Hungary,47.0956,17.558444,coal,retired,Europe,248.97,60.0,10.79
f2b3a729-602a-4b6b-acc9-004244f2e556,Banhida-II power station,HU,Hungary,47.571057,18.365557,coal,retired,Europe,152.6,100.0,6.88
f7dcdb63-26e6-44cd-b440-ec14fe507d90,Borsod power station,HU,Hungary,47.904814,21.055306,lignite,cancelled,Europe,102.51,420.0,66.01
28b36531-865d-42ae-afb3-b8bad86f7014,Matra power station,HU,Hungary,47.79027,20.06358,lignite,operating,Europe,168.34,1384.0,7.63
903d6b94-cd9d-4c32-b7e2-4bbfbee929df,Matraterenye power station,HU,Hungary,48.016667,19.95,coal,cancelled,Europe,223.0,49.9,1.17
34d88ce8-d49c-4b19-af2d-6efcb1b72149,Mecsek Hills power station,HU,Hungary,46.1,18.083333,coal,cancelled,Europe,311.05,400.0,3.54
