run_id,site_id,smr_key,weight_profile,criterion_id,score_0_10,weight_normalised,weighted_contribution,category,created_at,site_name,country_code
20260425T140231_ff84d75e,52db4dae-b014-45a4-96c4-49f80c1fdd11,nuscale_voygr6,baseline,NS-04,5.5,0.0212,0.1166,NS,2026-04-25 14:03:25.097752+00:00,Opalenie power station,PL
20260425T140231_ff84d75e,52db4dae-b014-45a4-96c4-49f80c1fdd11,nuscale_voygr6,baseline,NS-05,9.5,0.0177,0.1678,NS,2026-04-25 14:03:25.097753+00:00,Opalenie power station,PL
20260425T140231_ff84d75e,52db4dae-b014-45a4-96c4-49f80c1fdd11,nuscale_voygr6,baseline,NS-08,7.5,0.0212,0.159,NS,2026-04-25 14:03:25.097753+00:00,Opalenie power station,PL
20260425T140231_ff84d75e,52db4dae-b014-45a4-96c4-49f80c1fdd11,nuscale_voygr6,baseline,RI-01,5.0,0.0212,0.106,RI,2026-04-25 14:03:25.097753+00:00,Opalenie power station,PL
20260425T140231_ff84d75e,52db4dae-b014-45a4-96c4-49f80c1fdd11,nuscale_voygr6,baseline,RI-04,5.5,0.0283,0.1555,RI,2026-04-25 14:03:25.097753+00:00,Opalenie power station,PL
20260425T140231_ff84d75e,52db4dae-b014-45a4-96c4-49f80c1fdd11,nuscale_voygr6,baseline,RI-06,5.5,0.0177,0.0972,RI,2026-04-25 14:03:25.097753+00:00,Opalenie power station,PL
20260425T140231_ff84d75e,dadadad9-b67e-44b8-a9ab-4cbf116da20b,nuscale_voygr6,baseline,EP-01,5.5,0.0283,0.1555,EP,2026-04-25 14:03:25.097792+00:00,Puchaczow power station,PL
20260425T140231_ff84d75e,dadadad9-b67e-44b8-a9ab-4cbf116da20b,nuscale_voygr6,baseline,EP-02,5.5,0.0212,0.1166,EP,2026-04-25 14:03:25.097793+00:00,Puchaczow power station,PL
20260425T140231_ff84d75e,dadadad9-b67e-44b8-a9ab-4cbf116da20b,nuscale_voygr6,baseline,HI-01,3.5,0.0247,0.0866,HI,2026-04-25 14:03:25.097793+00:00,Puchaczow power station,PL
20260425T140231_ff84d75e,dadadad9-b67e-44b8-a9ab-4cbf116da20b,nuscale_voygr6,baseline,HI-03,7.5,0.0247,0.1855,HI,2026-04-25 14:03:25.097793+00:00,Puchaczow power station,PL
20260425T140231_ff84d75e,dadadad9-b67e-44b8-a9ab-4cbf116da20b,nuscale_voygr6,baseline,HI-06,1.5,0.0212,0.0318,HI,2026-04-25 14:03:25.097793+00:00,Puchaczow power station,PL
20260425T140231_ff84d75e,dadadad9-b67e-44b8-a9ab-4cbf116da20b,nuscale_voygr6,baseline,NH-01,9.5,0.0318,0.3021,NH,2026-04-25 14:03:25.097794+00:00,Puchaczow power station,PL
